[0 - 7f79b00db000]    0.113478 {2}{mapper}:   1e00000000000007 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113485 {2}{mapper}:   1e00000000000008 (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113493 {2}{mapper}:   1e00000000000009 (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113500 {2}{mapper}:   1e0000000000000a (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113507 {2}{mapper}:   1e0000000000000b (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113515 {2}{mapper}:   1e0000000000000c (Z_COPY_MEM)
[0 - 7f79b00db000]    0.113522 {2}{mapper}:   1e0000000000000d (HDF_MEM)
[0 - 7f79b00db000]    0.113529 {2}{mapper}:   1e0000000000000e (FILE_MEM)
[0 - 7f79b00db000]    0.113537 {2}{mapper}: Processors on rank 0:
[0 - 7f79b00db000]    0.113544 {2}{mapper}:   1d00000000000000 (UTIL_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.113553 {2}{mapper}:   1d00000000000001 (LOC_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.113561 {2}{mapper}:   1d00000000000002 (OMP_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e00000000000002(bw=140) 1e00000000000003(bw=129) 1e0000000000000c(bw=40)
[0 - 7f79b00db000]    0.113569 {2}{mapper}:   1d00000000000003 (TOC_PROC) can see 1e00000000000004(bw=200) 1e00000000000005(bw=10) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=200) 1e00000000000009(bw=10) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
