[1 - 7fa9b805a000]    0.115151 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7fa9b805a000]    0.115157 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.115163 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.115168 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.115174 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.115633 {2}{mapper}: Memories on rank 1:
[1 - 7fa9b805a000]    0.115646 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115651 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115657 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115662 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115667 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.115672 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
