[1 - 7f4a6408b000]    0.166247 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.166253 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.166259 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166265 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166271 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166277 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166283 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166288 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166294 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166300 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166306 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f4a6408b000]    0.166312 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f4a6408b000]    0.166323 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f4a6408b000]    0.166330 {2}{mapper}: Processors on rank 1:
[1 - 7f4a6408b000]    0.166336 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166342 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166348 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f4a6408b000]    0.166354 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166360 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166366 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166372 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166520 {2}{mapper}: Memories on rank 1:
[1 - 7f4a6408b000]    0.166529 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166535 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166540 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166546 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166552 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.166557 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.166563 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.166568 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.166574 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166580 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166586 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166592 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166598 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166604 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166609 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166615 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166621 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f4a6408b000]    0.166627 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f4a6408b000]    0.166633 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f4a6408b000]    0.166639 {2}{mapper}: Processors on rank 1:
